claim,statement,config,fraction,model,holds,evidence,auc_mean,model_flag
C1,every cross pair sits below both members' self-agreement.,f25_gbm,0.25,gradient_boosting,yes,shap__occlusion hi 0.403 vs self lo 0.647; shap__lime hi 0.435 vs self lo 0.545; occlusion__lime hi 0.186 vs self lo 0.545,0.666774627407989,ok
C1,every cross pair sits below both members' self-agreement.,f25_lr,0.25,logistic_regression,no,shap__occlusion hi 0.575 vs self lo 0.758; shap__lime hi 0.675 vs self lo 0.635; occlusion__lime hi 0.409 vs self lo 0.635,0.7136579179552314,ok
C1,every cross pair sits below both members' self-agreement.,f25_rf,0.25,random_forest,yes,shap__occlusion hi 0.406 vs self lo 0.654; shap__lime hi 0.465 vs self lo 0.633; occlusion__lime hi 0.161 vs self lo 0.633,0.682705631464619,ok
C1,every cross pair sits below both members' self-agreement.,f33_gbm,0.33,gradient_boosting,yes,shap__occlusion hi 0.410 vs self lo 0.653; shap__lime hi 0.439 vs self lo 0.531; occlusion__lime hi 0.184 vs self lo 0.531,0.6849291770670768,ok
C1,every cross pair sits below both members' self-agreement.,f33_lr,0.33,logistic_regression,no,shap__occlusion hi 0.595 vs self lo 0.768; shap__lime hi 0.667 vs self lo 0.625; occlusion__lime hi 0.432 vs self lo 0.625,0.7263742425240232,ok
C1,every cross pair sits below both members' self-agreement.,f33_rf,0.33,random_forest,yes,shap__occlusion hi 0.412 vs self lo 0.654; shap__lime hi 0.496 vs self lo 0.621; occlusion__lime hi 0.179 vs self lo 0.621,0.6912024985486449,ok
C1,every cross pair sits below both members' self-agreement.,f50_gbm,0.5,gradient_boosting,yes,shap__occlusion hi 0.412 vs self lo 0.650; shap__lime hi 0.486 vs self lo 0.574; occlusion__lime hi 0.198 vs self lo 0.574,0.7308551315259849,ok
C1,every cross pair sits below both members' self-agreement.,f50_lr,0.5,logistic_regression,no,shap__occlusion hi 0.584 vs self lo 0.782; shap__lime hi 0.690 vs self lo 0.639; occlusion__lime hi 0.425 vs self lo 0.639,0.7696685094041745,ok
C1,every cross pair sits below both members' self-agreement.,f50_rf,0.5,random_forest,yes,shap__occlusion hi 0.417 vs self lo 0.644; shap__lime hi 0.548 vs self lo 0.622; occlusion__lime hi 0.198 vs self lo 0.622,0.7439881887505793,ok
C2,occlusion-LIME is the lowest pair.,f25_gbm,0.25,gradient_boosting,yes,"means shap__occlusion 0.357, shap__lime 0.402, occlusion__lime 0.141; occlusion__lime hi 0.186 vs 0.316",0.666774627407989,ok
C2,occlusion-LIME is the lowest pair.,f25_lr,0.25,logistic_regression,yes,"means shap__occlusion 0.524, shap__lime 0.644, occlusion__lime 0.363; occlusion__lime hi 0.409 vs 0.476",0.7136579179552314,ok
C2,occlusion-LIME is the lowest pair.,f25_rf,0.25,random_forest,yes,"means shap__occlusion 0.367, shap__lime 0.431, occlusion__lime 0.114; occlusion__lime hi 0.161 vs 0.330",0.682705631464619,ok
